,Apartment name,Distance from  WSU (miles),Address,No. of avaliable unit sizes,furnished,Do sharing avaliable,Bills not included in the rent,Bills paid by the management,Amentities provided by the management,Required guarantor,Required SSN,Require security deposit,Documents required for application,Rental insurance required,free parking lot available,Minimum lease term availability in months,In unit washer or dyer,Pets allowed,location,LATITUDE,LONGITUDE
59,Stratford East Apartments,3.9,"7826 E Douglas Ave Wichita, KS 67206","2-(1Bed1Bath695sqft),(2Bed1.5Bath930sqft)",Yes,Yes,Yes,Yes,"Fireplace, Microwave, Vinyl Flooring, Wheel chair accessible, Dishwasher,Grill, Club house, Pool, Courtyard,",No,No,Yes,Yes,Yes,Yes,12,Yes,Yes,"7826, East Douglas Avenue, Towne East Square, Forest Hills, Wichita, Sedgwick County, Kansas, 67206, United States",37.686625873886186,-97.24621364565756
65,The Landing at woodlawn Tower,1.2,"2029 N Woodlawn St, Wichita, KS 67208","2-(1Bed1Bath672sqft),(2Bed1Bath912sqft)",Yes,Yes,Yes,Yes,"Package Service, Laundry Facilities, Pet Play Area, Clubhouse, Storage Space, Fitness Center, Pool, Grill, Picnic Area, Study Lounge",No,No,Yes,Yes,Yes,Yes,12,No,Yes,"North Woodlawn Street, Arthur Heights, Bel Aire, Sedgwick County, Kansas, 67220, United States",37.764142,-97.262471
66,"The Lofts at Old Town Square,",3.2,"331 N Rock Island Wichita, KS 67202",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481,Yes,Yes,yes,No,"Balcony or Patio, Cable Ready, Ceiling Fans, Central Air and Heating, Dishwasher, Garbage Disposal, Microwave, Range or Oven, Refrigirator, Vaulted Cielings",Yes,Yes,Yes,"Previous rental history,Photo id",no,Yes,6,Yes,Yes,"331, North Rock Island, Wichita, Sedgwick County, Kansas, 67202, United States",37.69042693877551,-97.32831665306122
67,The Remington,5.3,"612 E Douglas Ave Wichita, KS 67202",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481,No,Yes,no,no,"Laundry,Wifi,Air conditioning,cable",no,no,yes,"Previous rental history,Photo id",yes,yes,6,no,yes,"The Renfro, 612, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67202, United States",37.68638205,-97.3310846
68,The Renfro,4.4,"612 E Douglas Ave Wichita, KS 67202","5-(Studio 352 sqft), (Studio 779 sqft),(1 Bed 1 Bath 549 sqft),(1 Bed 1.5 Bath 986 sqft),(2 Bed 1 Bath 736 sqft)",yes,yes,yes,No,"laundry facilities, fitness center, high speed internet access,wifi,air conditioning,cable ready",NO,NO,yes,Proof of income,yes,yes,12,no,yes,"The Renfro, 612, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67202, United States",37.68638205,-97.3310846
69,The suites at wsu,0.5,"2011 Innovation Blvd, Wichita, KS 67208",https://docs.google.com/spreadsheets/d/1DRpTGPjpcmcBEo1XeHHic9MkyhlIJjxHmnjBg6NDqNQ/edit#gid=617532481,Yes,Yes,no,no,"Main Lobby, Clubhouse, Media Room, Study Spaces, ",no,,,,no,yes,,yes,yes,"Innovation Boulevard, Wichita, Sedgwick County, Kansas, 67260, United States",37.7161156,-97.2846745
70,The Timber Apartments,1.4,"2021 N Old manor rd, Wichita, KS 67208","2-(1 bed 1 bath 650sqft),(2 bed 1 bath 900sqft)",no,yes,yes,no,"laundry facilities,clubhouse,wheelchair accesible,gated,",no,no,yes,"proof of income,previous rental history",yes,yes,2,yes,yes,"2021, North Old Manor Road, Crestview Heights, Wichita, Sedgwick County, Kansas, 67208, United States",37.71990921952765,-97.27344988806516
72,Twin Rivers Apartmens,3.1,"2303 Somerset St, Wichita, KS 67204","5-(1 bed,1 bath - 890 sq ft) , (2 bed, 1 bath - 1253 sq ft) , (2 bed,1.5 bath- 1253 sq ft) , (2 bed, 2 bath- 1253 sq ft) , (3 bed, 2.5 bath - 1253 sq ft)",No,Yes,Yes,Yes,"Pool, Fitness center, laundry facilities, Elevator, Clubhouse, Grill, Gated, tennis court, Boat docks, Courtyard ",No ,No,Yes,"Photo ID, 30 days proof of income",Yes,No,6,No,Yes,"2303, Somerset Street, Wichita, Sedgwick County, Kansas, 67204, United States",37.724085,-97.356209
73,University Court Apartments,0.001,"3607 E 17th St N, Wichita, KS 67208","2- (1 bed,1 bath -600 sq ft) , (2 bed, 1 bath - 763 sq ft)",Yes,No,No,Yes,"Wi-Fi, Swimming pool, Grillareas, Dogpark, Firepits, Sand volleyball",No ,No,Yes,"Photo ID, Proof of income, Previously Application",No,No,6,Yes,Yes,"3607, East 17th Street North, Wichita, Sedgwick County, Kansas, 67208, United States",37.715462306122454,-97.2938557755102
74,Uptown Landing,2.5,"3252 E Douglas Ave Wichita, KS 67208","4-(1 bed, 1bath- 807 sq ft), (2 bed, 1 bath- 1285 sq ft), (2 bed, 2 bath- 1510 sq ft), (3 bed, 2 bath- 1965 sq ft)",No,Yes,Yes,No,"Heated pool, Pickleball courts, Clubhouse, Gym, Rooftop sunset terrace, Carports & garages, ",No ,No,Yes,"Proof of income, Photo ID, Previous renter history ",,Yes,6,Yes,Yes,"3252, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67208, United States",37.686405042019786,-97.29774549924281
75,Urban Apartments in College Hills,2.8,"3815 E English St, Wichita, KS 67218",We were unable to reach them. They were not picking the call and they don't have an office to go in person too.,,,,,,,,,,,,,,,"3815, East English Street, Merriman Park, Wichita, Sedgwick County, Kansas, 67218, United States",37.684760038515236,-97.29176475802771
76,Vassar Flats,0.3,"1711 North Vassar, Wichita, KS 67208","5 - (1 bed,1 bath studio style- 472 sq ft), (1 bed,1 bath studio style-449 sq ft), (1 bed,1 bath studio style-536 sq ft), (1 bed,1 bath studio style- 539 sq ft), (1 bed,1 bath studio style- 555 sq ft)",No,No,Yes,No,"Wi-Fi, Pickle Ball Court, Resident lounge with complimentary coffee bar",No,Yes,Yes,Yes,No,Yes,6,Yes,Yes,"1711, North Vassar, Fairmount, Wichita, Sedgwick County, Kansas, 67208, United States",37.714492816326526,-97.295438
