,RESTAURANT NAME,DISTANCE FROM WSU,ADDRESS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,TYPE,RATINGS_OUTOF5,NUM_REVIEWS,MIN_COST,MAX_COST,ON_CAMPUS,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,TotalHours,location,LATITUDE,LONGITUDE
43,Bella Luna Cafe,2.1,"2132 N Rock Rd, Wichita, KS 67206",11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-3PM,café,4.5,916,10.0,20.0,False,10.0,10.0,10.0,10.0,10.0,10.0,4.0,64.0,"2132, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.722141496925346,-97.24450474985585
44,Chipotle Mexican Grill ,3.0,"3015 N Rock Rd, Wichita, KS 67226",10:45AM-10:30PM,10:45AM-10:30PM,10:45AM-10:30PM,10:45AM-10:30PM,10:45AM-10:30PM,10:45AM-10:30PM,10:45AM-10:30PM,Mexican restaurant,4.2,1293,10.0,20.0,False,11.75,11.75,11.75,11.75,11.75,11.75,11.75,82.25,"Chipotle, 3015, North Rock Road, Wichita, Sedgwick County, Kansas, 67226, United States",37.7381731,-97.2453144
45,HuHot Mongolian Grill,2.1,"2035 N Rock Rd, Wichita, KS 67206",11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-10PM,11AM-10PM,11AM-9PM,Mangolian barbecue restaurant,4.4,2383,10.0,20.0,False,10.0,10.0,10.0,10.0,11.0,11.0,10.0,72.0,"Nothing Bundt Cakes, 2035, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.7204046,-97.2455109
46,Redrock Canyon Grill ,2.2,"1844 N Rock Rd, Wichita, KS 67206",5PM-10PM,5PM-10PM,5PM-10PM,5PM-10PM,5PM-11PM,11AM-11PM,11AM-9PM,American restaurant,4.5,1881,20.0,30.0,False,5.0,5.0,5.0,5.0,6.0,12.0,10.0,48.0,"Red Rock Canyon, 1844, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.7173297,-97.2440198
47,On The Border Mexican Grill & Cantina ,2.4,"1930 N Rock Rd, Wichita, KS 67206",11AM-11PM,11AM-10PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-9PM,Tex-Mex chain restaurant,4.0,1342,10.0,20.0,False,12.0,11.0,12.0,12.0,12.0,12.0,10.0,81.0,"1930, North Rock Road, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.71883,-97.244511
48,Yokohama Ramen Izakaya,2.3,"6434 E Central Ave, Wichita, KS 67206",11AM-9PM,11AM-9PM,0,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,Ramen restaurant,4.6,731,10.0,20.0,False,10.0,10.0,,10.0,10.0,10.0,10.0,60.0,"Yokohama Ramen, 6434, East Central Avenue, Forest Hills, Wichita, Sedgwick County, Kansas, 67208, United States",37.6949845,-97.2614659
49,Great Wall Chinese Restaurant ,1.6,"410 N Hillside St, Wichita, KS 67214",11AM-10PM,0,11AM-10PM,11AM-10PM,11AM-10:30PM,11AM-10:30PM,12PM-10PM,Chinese restaurant,3.7,726,10.0,20.0,False,11.0,,11.0,11.0,11.5,11.5,10.0,66.0,"Pizza Hut, 410 #1300, North Hillside Street, Wichita, Sedgwick County, Kansas, 67147, United States",37.692759,-97.2983126
50,Malaysia Cafe,1.9,"7777 E 21st St N, Wichita, KS 67206",0," 11 AM–3 PM, 4–8 PM"," 11 AM–3 PM, 4–8 PM",11AM-8PM,11AM-8PM,11AM-8PM,0,Malaysian restaurant,4.3,247,10.0,20.0,False,,,,9.0,9.0,9.0,,27.0,"Malaysia Cafe, 7777, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.7224608,-97.2468004
51,Jersey Mike's Subs,0.03,"4521 E 21st St N, Wichita, KS 67208",10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,Sandwich Shop,4.2,30,10.0,20.0,True,11.0,11.0,11.0,11.0,11.0,11.0,11.0,77.0,"4521, East 21st Street North, Wichita, Sedgwick County, Kansas, 67214, United States",37.72282537931034,-97.28385744827585
52,Two Hands Corn Dogs,0.03,"4510 E 19th St N, Wichita, KS 67208",11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,Corndog Shop,4.6,65,10.0,20.0,True,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,"East 19th Street North, College Terrace, Wichita, Sedgwick County, Kansas, 67260, United States",37.718593,-97.303609
